date,Citi_OT,BAC_OT,Barclay_OT,OT
1990-03-02,22.30625,11.5,95.6735,2.40625
1990-03-05,22.202499,11.46875,95.013702,2.390625
1990-03-06,22.202499,11.375,95.838501,2.40625
1990-03-07,21.995001,11.34375,96.498299,2.390625
1990-03-08,22.6175,10.90625,96.6633,2.421875
1990-03-09,22.721251,10.375,96.828201,2.4375
1990-03-12,22.6175,10.34375,93.859001,2.484375
1990-03-13,22.51375,10.15625,93.364197,2.484375
1990-03-14,23.34375,10.0625,93.529099,2.46875
1990-03-15,23.55125,10.125,93.529099,2.46875
1990-03-16,23.862499,10.125,93.859001,2.5
1990-03-19,23.655001,10.0625,92.7043,2.453125
1990-03-20,23.032499,9.96875,94.518799,2.453125
1990-03-21,23.032499,9.9375,93.529099,2.421875
1990-03-22,22.41,9.625,93.694099,2.359375
1990-03-23,22.51375,9.6875,95.013702,2.4375
1990-03-26,22.41,9.90625,96.828201,2.453125
1990-03-27,22.721251,9.9375,96.498299,2.515625
1990-03-28,23.24,9.875,97.158096,2.578125
1990-03-29,23.032499,9.78125,97.323097,2.484375
1990-03-30,22.825001,9.6875,96.828201,2.46875
1990-04-02,22.41,9.5625,95.508598,2.375
1990-04-03,23.24,9.625,95.6735,2.4375
1990-04-04,23.34375,9.4375,95.343597,2.421875
1990-04-05,23.655001,9.03125,95.343597,2.390625
1990-04-06,23.862499,8.84375,94.353897,2.328125
1990-04-09,23.655001,9.03125,94.518799,2.296875
1990-04-10,24.17375,9.40625,94.6838,2.359375
1990-04-11,24.588751,9.4375,94.6838,2.390625
1990-04-12,24.485001,9.40625,94.848801,2.359375
1990-04-16,25.1075,9.25,94.848801,2.375
1990-04-17,25.73,9.34375,93.199203,2.4375
1990-04-18,24.796249,9.34375,90.724899,2.359375
1990-04-19,24.692499,9.3125,89.735199,2.359375
1990-04-20,23.655001,9.28125,88.415497,2.34375
1990-04-23,23.655001,9.25,85.611298,2.359375
1990-04-24,23.24,9.25,84.786499,2.328125
1990-04-25,23.758751,9.125,83.301903,2.3125
1990-04-26,24.07,9.21875,83.631897,2.296875
1990-04-27,23.758751,9.3125,82.477203,2.234375
1990-04-30,23.862499,9.5,83.137001,2.25
1990-05-01,24.07,9.71875,83.9618,2.28125
1990-05-02,25.00375,9.8125,85.776299,2.34375
1990-05-03,24.38125,10.0,85.776299,2.375
1990-05-04,24.692499,9.875,87.9207,2.390625
1990-05-07,24.796249,9.9375,87.9207,2.40625
1990-05-08,24.588751,9.75,89.075302,2.4375
1990-05-09,24.588751,9.6875,86.436096,2.453125
1990-05-10,24.692499,9.65625,86.930901,2.453125
1990-05-11,25.315001,9.84375,87.425797,2.5625
1990-05-14,25.9375,9.875,88.580498,2.671875
1990-05-15,26.456249,9.90625,88.250603,2.75
1990-05-16,26.456249,9.84375,88.580498,2.734375
1990-05-17,26.66375,9.875,90.559898,2.703125
1990-05-18,26.456249,9.8125,90.230003,2.6875
1990-05-21,26.7675,9.84375,90.724899,2.703125
1990-05-22,26.975,9.65625,92.209503,2.65625
1990-05-23,26.87125,9.6875,89.735199,2.640625
1990-05-24,27.078751,9.46875,88.9104,2.671875
1990-05-25,26.559999,9.25,88.679497,2.671875
1990-05-29,27.389999,9.3125,89.372299,2.734375
1990-05-30,27.078751,9.4375,91.681602,2.84375
1990-05-31,27.078751,9.6875,92.6054,2.796875
1990-06-01,27.286249,9.96875,93.529099,2.859375
1990-06-04,27.5975,10.5,94.6838,2.859375
1990-06-05,28.53125,10.875,96.069397,2.921875
1990-06-06,27.805,10.8125,94.452904,2.859375
1990-06-07,27.389999,10.25,92.836304,2.859375
1990-06-08,26.559999,10.34375,92.374397,2.8125
1990-06-11,27.182501,10.34375,91.450699,2.8125
1990-06-12,27.49375,10.375,91.912598,2.828125
1990-06-13,27.5975,10.09375,93.529099,2.8125
1990-06-14,28.116249,9.4375,92.143501,2.796875
1990-06-15,27.908751,9.8125,90.757896,2.75
1990-06-18,27.389999,9.59375,89.372299,2.6875
1990-06-19,27.286249,9.5625,90.065102,2.703125
1990-06-20,27.70125,9.40625,92.836304,2.6875
1990-06-21,27.908751,9.59375,93.0672,2.6875
1990-06-22,28.32375,9.4375,93.298203,2.609375
1990-06-25,28.219999,9.4375,95.376602,2.609375
1990-06-26,27.805,9.125,95.145699,2.65625
1990-06-27,28.53125,9.25,93.298203,2.71875
1990-06-28,28.4275,9.34375,91.681602,2.71875
1990-06-29,28.32375,9.375,90.9888,2.71875
1990-07-02,28.635,9.28125,90.295998,2.65625
1990-07-03,29.2575,9.125,89.834099,2.71875
1990-07-05,29.049999,8.90625,90.295998,2.71875
1990-07-06,29.2575,9.25,91.912598,2.734375
1990-07-09,28.946251,9.0,93.0672,2.765625
1990-07-10,28.946251,8.71875,92.374397,2.640625
1990-07-11,29.56875,8.65625,93.760101,2.53125
1990-07-12,30.19125,8.59375,94.221901,2.546875
1990-07-13,30.502501,8.6875,92.836304,2.609375
1990-07-16,31.02125,9.125,94.6838,2.625
1990-07-17,30.606251,9.46875,96.762199,2.609375
1990-07-18,30.0875,9.375,97.455002,2.5
1990-07-19,28.73875,9.28125,95.838501,2.484375
1990-07-20,27.70125,9.1875,94.221901,2.53125
1990-07-23,27.182501,9.0625,91.681602,2.5
1990-07-24,26.66375,9.0,91.681602,2.484375
1990-07-25,27.286249,9.0625,93.990997,2.546875
1990-07-26,27.805,9.03125,92.836304,2.4375
1990-07-27,26.456249,9.03125,90.9888,2.484375
